ORISPL_CODE,UNITID,NAME,Pmin_1d,Pmin_2d0,CAPACITY
56445,CT-02,Spindle Hill Energy Center,143.44,82.09,165
56458,HOBB1,Hobbs Generating Station,240.56,238.79,352
56458,HOBB2,Hobbs Generating Station,239.47,237.7,353
56467,CT1,Russell City Energy Company LLC,286.4,284.78,322
56467,CT2,Russell City Energy Company LLC,264.54,283.9,321
56471,CT1,McGrath Generating Station,51,49.97,51
56472,CT1,Grapeland Generating Station,49.46,47.67,51
56473,CT1,Mira Loma Peaker,49.72,47.92,51
56474,CT1,Barre Peaker,51,49.72,51
56475,CT1,Center Peaker,50.74,49.21,51
56476,GT1,Gateway Generating Station,271.06,269.5,310
56476,GT2,Gateway Generating Station,272.17,270.63,306
56482,1,Black Mountain Generating Station,47.03,45.8,49
56482,2,Black Mountain Generating Station,47.28,46.05,49
56532,CT1,Colusa Generating Station,182.39,180.64,349
56532,CT2,Colusa Generating Station,181.87,180.12,348
56569,1,Niland Gas Turbine Plant,48.24,46.98,50
56569,2,Niland Gas Turbine Plant,48.74,47.74,50
56606,CT01,Culbertson Station,95.34,94.31,102
56639,1,"Starwood Power Midway, LLC",58.85,44.45,61
56639,2,"Midway Peaking, LLC",55.15,53.9,62
56803,1,Panoche Energy Center,105.08,102.6,123
56803,2,Panoche Energy Center,105.58,103.37,110
56803,3,Panoche Energy Center,106.38,104.18,146
56803,4,Panoche Energy Center,104.2,53.73,108
56908,1A,Mill Creek Generating Station,24.82,5.49,26
56908,1B,Mill Creek Generating Station,25.09,5.23,26
56908,2A,Mill Creek Generating Station,25.09,5.23,26
56908,2B,Mill Creek Generating Station,25.35,5.23,26
56908,3A,Mill Creek Generating Station,25.09,5.36,26
56908,3B,Mill Creek Generating Station,25.09,5.49,26
56914,CTG1,Orange Grove Project,51,49.46,51
56914,CTG2,Orange Grove Project,51,50.49,51
56948,CT01,Coolidge Generating Station,45.8,44.57,49
56948,CT02,Coolidge Generating Station,45.06,44.08,49
56948,CT03,Coolidge Generating Station,45.31,44.08,49
56948,CT04,Coolidge Generating Station,45.73,44.72,50
56948,CT05,Coolidge Generating Station,45.98,44.72,50
56948,CT06,Coolidge Generating Station,45.23,44.22,50
56948,CT07,Coolidge Generating Station,45.8,44.57,49
56948,CT08,Coolidge Generating Station,45.06,44.08,49
56948,CT09,Coolidge Generating Station,45.31,44.08,49
56948,CT10,Coolidge Generating Station,44.97,43.97,50
56948,CT11,Coolidge Generating Station,45.31,44.08,49
56948,CT12,Coolidge Generating Station,44.62,43.42,48
56998,CT01,Pueblo Airport Generating Station,39.08,37.63,96
56998,CT02,Pueblo Airport Generating Station,38.51,37.05,97
56998,CT04,Pueblo Airport Generating Station,41.16,40.1,42
56998,CT05,Pueblo Airport Generating Station,40.94,39.89,42
56998,CT06,Pueblo Airport Generating Station,41,39.76,41
56998,CT07,Pueblo Airport Generating Station,41.16,40.1,42
56998,CT08,Pueblo Airport Generating Station,21.11,20.05,42
57001,1,El Cajon Energy Center,50,46.23,50
57027,1,Canyon Power Plant,51,49.97,51
57027,2,Canyon Power Plant,51,49.97,51
57027,3,Canyon Power Plant,51,49.97,51
57027,4,Canyon Power Plant,51,49.97,51
57028,CT1,Langley Gulch Power Plant,192.94,191.28,331
57073,BLR1,Ivanpah 2,-1,-1,-1
57074,BLR1,Ivanpah 1,-1,-1,-1
57075,BLR1,Ivanpah 3,-1,-1,-1
57267,1,Marsh Landing Generating Station,124.38,123.34,208
57267,2,Marsh Landing Generating Station,124.22,123.19,206
57267,3,Marsh Landing Generating Station,124.52,123.47,210
57267,4,Marsh Landing Generating Station,124.52,122.41,210
57480,HGS1,Highwood Generating Station,40.68,39.76,46
57482,1,CPV Sentinel,95.94,94.82,111
57482,2,CPV Sentinel,96.6,95.52,108
57482,3,CPV Sentinel,95.71,94.63,107
57482,4,CPV Sentinel,95.71,94.63,107
57482,5,CPV Sentinel,96.18,94.52,110
57482,6,CPV Sentinel,96.06,94.97,108
57482,7,CPV Sentinel,95.85,49.84,109
57482,8,CPV Sentinel,52.76,50.75,100
57483,GT-1,Mariposa Energy Project,27.44,26.13,52
57483,GT-2,Mariposa Energy Project,27.17,26.14,51
57483,GT-3,Mariposa Energy Project,27.44,26.13,52
57483,GT-4,Mariposa Energy Project,27.17,25.88,51
57515,GT1,Walnut Creek Energy Park,102.16,101.09,107
57515,GT2,Walnut Creek Energy Park,102.16,100.55,107
57515,GT3,Walnut Creek Energy Park,101.62,100.55,107
57515,GT4,Walnut Creek Energy Park,99.47,98.4,107
57515,GT5,Walnut Creek Energy Park,100.55,98.93,107
57555,CTG1,Pio Pico Energy Center LLC,55.08,53.94,113
57555,CTG2,Pio Pico Energy Center LLC,54.9,53.74,115
57555,CTG3,Pio Pico Energy Center LLC,54.79,53.63,116
57703,CT01,Cheyenne Prairie Generating Station,39.2,37.99,40
57703,CT02,Cheyenne Prairie Generating Station,38.79,37.79,40
57703,CT03,Cheyenne Prairie Generating Station,31.16,29.95,40
57978,CT1,Lodi Energy Center,203.67,100.25,210
58122,GEN1,"Delano Energy Center, LLC",17.94,16.91,51
58284,1,La Luz Energy Center,42,40.94,42
58503,CTEU1,Carty Generating Station,442.55,417.83,492
